"Internet Media & Services"|"Includes television and radio broadcasting, publishing, advertising, telecommunications, motion pictures, home videos, public relations, computer databases, etc. The media communications industry includes journalists, producers, directors, writers, technicians, etc."
"E-Commerce"|"Companies and individuals that buy and sell goods and services over the internet. E-commerce operates in different types of market segments and can be conducted over computers, tablets, smartphones, and other smart devices."
"Home Builders"|"Industry refers the industrial branch of manufacturing and trade related to building, repairing, renovating, and maintaining infrastructures."
"Auto Parts"|"The automotive aftermarket is the secondary parts market of the automotive industry, concerned with the manufacturing, remanufacturing, distribution, retailing, and installation of all vehicle parts, chemicals, equipment, and accessories, after the sale of the automobile by the original equipment manufacturer (OEM) to the consumer."
"Leisure Facilities"|"Encompasses a broad category of fields within the service industry such as lodging, food services, event planning, theme parks, transportation and other tourism oriented products and services"
"Food Retailers & Distributors"|"Food distribution is the process of getting food from producers and manufacturers to consumers. It involves a network of companies, organizations, and programs that collect food, store it in warehouses, and then distribute it to various channels such as grocery stores, restaurants, cafeterias, government aid programs, and more."
"Advertising & Marketing"|"The advertising industry is the global industry of public relations and marketing companies, media services, and advertising agencies."
"Electronic Manufacturing Services & Original Design Manufacturing"|"EMS and ODM providers cater to the consumer electronics market, which includes products like smartphones, computers, televisions, and wearable devices. EMS providers work with OEMs to manufacture these devices, while ODMs develop customized, innovative solutions tailored to specific brands and target audiences."
"Telecommunication Services"|"The telecommunications industries within the sector of information and communication technology is made up of all telecommunications/telephone companies and internet service providers and plays a crucial role in the evolution of mobile communications and the information society."
"Household & Personal Products"|"Companies that manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors, and kitchen utensils."
"Restaurants"|"An industry of restaurants, cafes, bars, fast food and other food service providers that allow customers to enter, order food, and eat on the premises, as well as order takeaway food."
"Toys & Sporting Goods"|"Toys and games are an essential part of many stages of a child’s development. The use of educational toys from a young age can nurture a wide set of skills, with cooperative games further improving communication and conflict resolution skills."
"Biofuels"|"Biofuel is a fuel that is produced over a short time span from biomass, rather than by the very slow natural processes involved in the formation of fossil fuels such as oil. Biofuel can be produced from plants or from agricultural, domestic or industrial biowaste."
"Air Freight & Logistics"|"The transfer and transport of commodities by an air carrier, whether charter or commercial, is what air freight logistics is all about. Many in the logistics industry choose this option since packages can be sent from commercial and passenger aircraft gateways to any location where a plane can fly and land"
"Mortgage Finance"|"Provides an essential public good in enabling consumers to purchase homes, and contributes to the overall home ownership rate. Companies in the industry lend capital to individual and commercial customers with property as collateral. The primary products are residential and commercial mortgages"
"Building Products & Furnishings"|"Comprises companies involved in the design and manufacturing of home improvement products, home and office furnishings, and structural wood building materials."
"Real Estate Services"|"Real estate services providers mainly appraise, purchase, sell (by auction or private treaty), manage or rent residential property, commercial property or a combination of the two."
"Construction Materials"|"Retail and production of many naturally occurring substances, such as clay, rocks, sand, wood, and even twigs and leaves, have been used to construct buildings and other structures, like bridges."
"Aerospace & Defence"|"Comprises companies manufacturing and selling products and services related to air travel and defense. This includes commercial planes, helicopters, military aircraft, weapon systems, and more. That fact alone makes A&D an exciting and unique industry to invest in."
"Semiconductors"|"The aggregate of companies engaged in the design and fabrication of semiconductors and semiconductor devices, such as transistors and integrated circuits."
"Meat, Poultry & Dairy"|"Produces raw and processed animal products, including meats, eggs, and dairy products, for human and animal consumption."
"Managed Care"|"Refers to a healthcare insurance approach that integrates the financing of health care and the delivery of care and related services to keep the costs to the purchaser at a minimum while delivering what is appropriate for a given patient or population of patients"
"Oil & Gas – Midstream"|"Midstream industry activities include the processing, storing, transporting and marketing of oil, natural gas, and natural gas liquids."
"Tobacco"|"The tobacco industry is defined as the groups and individuals who grow tobacco, and manufacture, market and retail tobacco products."
"Education"|"Provides teaching and training at all levels, from pre-school to secondary school, higher education, vocational education and training, adult and community education and private tutoring. Most people in this industry work as teachers, lecturers, trainers or instructors."
"Appliance Manufacturing"|"Manufacturer and retailer of appliances for home usage"
"Automobiles"|"The automotive industry comprises a wide range of companies and organizations involved in the design, development, manufacturing, marketing, selling, repairing, and modification of motor vehicles."
"Rail Transportation"|"A means of transport using wheeled vehicles running in tracks, which usually consist of two parallel steel rails. Rail transport is one of the two primary means of land transport, next to road transport"
"Insurance"|"Consists of companies that offer risk management in the form of insurance contracts. The basic concept of insurance is that one party, the insurer, will guarantee payment for an uncertain future event."
